group,trial,condition,a,b,c,premise1,premise2,transitive_probe,reverse_probe,transitive_support,reverse_support,unrelated_support,core_margin,bridge_usage,embedding_transitive,embedding_reverse,embedding_margin,transitive_nodes,transitive_edges
固定射影,4,前提1のみ,ジム,ポラ,ニト,ジムはポラより強い,ポラはニトより強い,ジムはニトより強い,ニトはジムより強い,0.2434940424372709,0.29636431784107947,0.07882004002287021,-0.052870275403808564,0.17391304347826086,0.679889701553845,0.6570807220172581,0.022808979536586893,30,23
固定射影,4,推移連鎖,ジム,ポラ,ニト,ジムはポラより強い,ポラはニトより強い,ジムはニトより強い,ニトはジムより強い,0.30130497685185187,0.3179625199362041,0.08538134578544061,-0.016657543084352244,0.27586206896551724,0.6798512159860616,0.6570063476882018,0.02284486829785981,35,29
固定射影,4,同語彙対照,ジム,ポラ,ニト,ジムはポラより強い,ニトはポラより強い,ジムはニトより強い,ニトはジムより強い,0.2968079274720641,0.38484692319438085,0.07517429193899783,-0.08803899572231677,0.32,0.7114488323741857,0.7116863649969205,-0.00023753262273484843,32,25
固定射影,5,未学習,フラ,ネフ,バリ,フラはネフより強い,ネフはバリより強い,フラはバリより強い,バリはフラより強い,0.15000517015626721,0.0932013782311697,0.14374184705067058,0.05680379192509752,0.0,0.7041263363958881,0.6681118096156367,0.03601452678025141,30,20
固定射影,5,前提1のみ,フラ,ネフ,バリ,フラはネフより強い,ネフはバリより強い,フラはバリより強い,バリはフラより強い,0.22868006993006992,0.1925500478927203,0.26043049543049546,0.036130022037349635,0.06666666666666667,0.7041263363958881,0.6681118096156367,0.03601452678025141,39,30
固定射影,5,推移連鎖,フラ,ネフ,バリ,フラはネフより強い,ネフはバリより強い,フラはバリより強い,バリはフラより強い,0.23802980925025777,0.18788134715536967,0.30740085870413736,0.0501484620948881,0.09090909090909091,0.7041976189302155,0.6681402247376073,0.03605739419260823,42,33
固定射影,5,同語彙対照,フラ,ネフ,バリ,フラはネフより強い,バリはネフより強い,フラはバリより強い,バリはフラより強い,0.3967376602832688,0.345202049918877,0.24245757606214813,0.051535610364391804,0.4411764705882353,0.7277765446251764,0.7341193146805243,-0.0063427700553478905,43,34
固定射影,6,未学習,ザム,クル,ラモ,ザムはクルより強い,クルはラモより強い,ザムはラモより強い,ラモはザムより強い,0.3832417589877267,0.30895256916996044,0.12291179653679654,0.07428918981776628,0.4,0.744865211877769,0.7251328801270154,0.019732331750753618,29,20
固定射影,6,前提1のみ,ザム,クル,ラモ,ザムはクルより強い,クルはラモより強い,ザムはラモより強い,ラモはザムより強い,0.5233529411764706,0.39656853958599914,0.1575169993970657,0.12678440159047144,0.6551724137931034,0.7448424481014775,0.7251181025141318,0.019724345587345704,37,29
固定射影,6,推移連鎖,ザム,クル,ラモ,ザムはクルより強い,クルはラモより強い,ザムはラモより強い,ラモはザムより強い,0.5752717391304348,0.43348599726775955,0.19560456730769232,0.14178574186267529,0.6388888888888888,0.7447794591282146,0.7250296128289504,0.01974984629926424,43,36
固定射影,6,同語彙対照,ザム,クル,ラモ,ザムはクルより強い,ラモはクルより強い,ザムはラモより強い,ラモはザムより強い,0.49622024848379076,0.5469382605207744,0.19769527273762663,-0.05071801203698367,0.5806451612903226,0.7716777243065804,0.785582470957825,-0.013904746651244526,39,31
異なる射影,1,未学習,リク,クル,ラモ,リクはクルより強い,クルはラモより強い,リクはラモより強い,ラモはリクより強い,0.248406733069562,0.16597366597366597,0.20950441961681698,0.08243306709589604,0.15,0.8025931371215674,0.744233798008409,0.05835933911315838,29,20
異なる射影,1,前提1のみ,リク,クル,ラモ,リクはクルより強い,クルはラモより強い,リクはラモより強い,ラモはリクより強い,0.31471045850951374,0.2576457621299374,0.2736717278719397,0.05706469637957634,0.1935483870967742,0.8025696239979125,0.7442873090633968,0.058282314934515744,39,31
異なる射影,1,推移連鎖,リク,クル,ラモ,リクはクルより強い,クルはラモより強い,リクはラモより強い,ラモはリクより強い,0.3879218133470578,0.3825901371871445,0.30557216761226197,0.005331676159913257,0.3157894736842105,0.8025263235136164,0.7441726769972029,0.058353646516413504,44,38
異なる射影,1,同語彙対照,リク,クル,ラモ,リクはクルより強い,ラモはクルより強い,リクはラモより強い,ラモはリクより強い,0.3317384370015949,0.4241068947016605,0.27413804554079696,-0.09236845770006563,0.38235294117647056,0.7795142870032731,0.7957982739473846,-0.016283986944111484,40,34
異なる射影,2,未学習,セナ,キト,リク,セナはキトより強い,キトはリクより強い,セナはリクより強い,リクはセナより強い,0.20119308882606757,0.17378571428571427,0.04272155517438536,0.027407374540353302,0.2727272727272727,0.6486865240798946,0.5920504351677287,0.05663608891216587,31,22
異なる射影,2,前提1のみ,セナ,キト,リク,セナはキトより強い,キトはリクより強い,セナはリクより強い,リクはセナより強い,0.28989101125477323,0.2436055523652585,0.1339760101010101,0.04628545888951474,0.3793103448275862,0.6486840758008796,0.5920297492682971,0.05665432653258251,38,29
異なる射影,2,推移連鎖,セナ,キト,リク,セナはキトより強い,キトはリクより強い,セナはリクより強い,リクはセナより強い,0.31265473402475746,0.27117674961861177,0.13985810217874772,0.041477984406145696,0.4375,0.648728722123217,0.5921198384495945,0.05660888367362249,40,32
異なる射影,2,同語彙対照,セナ,キト,リク,セナはキトより強い,リクはキトより強い,セナはリクより強い,リクはセナより強い,0.34054356357927784,0.3347552113632438,0.11689514544025156,0.005788352216034021,0.42857142857142855,0.6473241243209636,0.6470534148122267,0.0002707095087369771,43,35
異なる射影,3,未学習,ジム,メザ,セナ,ジムはメザより強い,メザはセナより強い,ジムはセナより強い,セナはジムより強い,0.13025926358626866,0.156041120901802,0.039725877192982456,-0.02578185731553334,0.0,0.6771306861848855,0.6643633669920508,0.012767319192834692,29,20
異なる射影,3,前提1のみ,ジム,メザ,セナ,ジムはメザより強い,メザはセナより強い,ジムはセナより強い,セナはジムより強い,0.19283182076006805,0.1837542514393427,0.028776041666666665,0.009077569320725343,0.0,0.6770831025096338,0.6643451093510608,0.012737993158572936,32,25
異なる射影,3,推移連鎖,ジム,メザ,セナ,ジムはメザより強い,メザはセナより強い,ジムはセナより強い,セナはジムより強い,0.22138546757901595,0.21683879604805353,0.058634135472370764,0.004546671530962415,0.0,0.6770883814961994,0.6643633669920508,0.012725014504148646,38,32
異なる射影,3,同語彙対照,ジム,メザ,セナ,ジムはメザより強い,セナはメザより強い,ジムはセナより強い,セナはジムより強い,0.2854339025932954,0.323172606568833,0.0784102362522174,-0.037738703975537635,0.1875,0.6905673583493136,0.7207118627317197,-0.030144504382406123,39,32
異なる射影,4,未学習,ジム,ポラ,ニト,ジムはポラより強い,ポラはニトより強い,ジムはニトより強い,ニトはジムより強い,0.15043533964969386,0.15357142857142858,0.11029978649463944,-0.0031360889217347254,0.15789473684210525,0.6797831751398857,0.6569644380426858,0.022818737097199948,27,19
異なる射影,4,前提1のみ,ジム,ポラ,ニト,ジムはポラより強い,ポラはニトより強い,ジムはニトより強い,ニトはジムより強い,0.19016624973942048,0.2191080471356229,0.20611647615293655,-0.028941797396202423,0.3181818181818182,0.6797831751398857,0.6569614602584963,0.0228217148813894,28,22
異なる射影,4,推移連鎖,ジム,ポラ,ニト,ジムはポラより強い,ポラはニトより強い,ジムはニトより強い,ニトはジムより強い,0.20017898962863834,0.2095751406128218,0.2568566388248848,-0.009396150984183449,0.3333333333333333,0.679889701553845,0.6570807220172581,0.022808979536586893,30,24
異なる射影,4,同語彙対照,ジム,ポラ,ニト,ジムはポラより強い,ニトはポラより強い,ジムはニトより強い,ニトはジムより強い,0.2051728979727484,0.25250187406296853,0.145341341028137,-0.04732897609022013,0.19230769230769232,0.7115360871991803,0.7117577648069506,-0.00022167760777036527,31,26
異なる射影,5,未学習,フラ,ネフ,バリ,フラはネフより強い,ネフはバリより強い,フラはバリより強い,バリはフラより強い,0.2651607478097622,0.15159793606913766,0.20695098039215687,0.11356281174062452,0.23809523809523808,0.7041282030039321,0.6681191048802664,0.036009098123665706,30,21
異なる射影,5,前提1のみ,フラ,ネフ,バリ,フラはネフより強い,ネフはバリより強い,フラはバリより強い,バリはフラより強い,0.3336706133937135,0.21275737817433082,0.2711682347670251,0.12091323521938269,0.375,0.7041263363958881,0.6681118096156367,0.03601452678025141,32,24
異なる射影,5,推移連鎖,フラ,ネフ,バリ,フラはネフより強い,ネフはバリより強い,フラはバリより強い,バリはフラより強い,0.34684132848541716,0.2685145441824528,0.297421468587435,0.07832678430296436,0.3333333333333333,0.704174646787058,0.6681118096156367,0.036062837171421336,38,30
異なる射影,5,同語彙対照,フラ,ネフ,バリ,フラはネフより強い,バリはネフより強い,フラはバリより強い,バリはフラより強い,0.2712721768515911,0.304233606557377,0.2787691336379575,-0.032961429705785916,0.3,0.7277827188130496,0.7341193146805243,-0.006336595867474704,37,30
異なる射影,6,未学習,ザム,クル,ラモ,ザムはクルより強い,クルはラモより強い,ザムはラモより強い,ラモはザムより強い,0.13065784534534536,0.21212804832575136,0.029874213836477988,-0.081470202980406,0.0,0.744892033966728,0.7251496015529943,0.019742432413733635,28,18
異なる射影,6,前提1のみ,ザム,クル,ラモ,ザムはクルより強い,クルはラモより強い,ザムはラモより強い,ラモはザムより強い,0.23293649732620322,0.33217968268809783,0.08128703094140882,-0.09924318536189461,0.0,0.7448438886299911,0.7251250686317148,0.019718819998276294,40,31
異なる射影,6,推移連鎖,ザム,クル,ラモ,ザムはクルより強い,クルはラモより強い,ザムはラモより強い,ラモはザムより強い,0.23947783119658117,0.3747710914578804,0.07263504611330698,-0.13529326026129923,0.05714285714285714,0.7448290307523266,0.7250384407791464,0.019790589973180284,44,35
異なる射影,6,同語彙対照,ザム,クル,ラモ,ザムはクルより強い,ラモはクルより強い,ザムはラモより強い,ラモはザムより強い,0.2807188966246006,0.41514891556044664,0.1319180523577316,-0.13443001893584605,0.16666666666666666,0.771624407463636,0.7854713101839772,-0.01384690272034117,45,36
