group,trial,projection_seed,order,probe_label,probe_text,sunny_affinity,rainy_affinity,ambiguous_affinity,sunny_margin,rainy_margin,confidence_gap,node_count,edge_count
固定射影,2,20260804,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.11586642,0.3047515,0.23809678,-0.18888509,0.18888509,0.18888509,48,40
固定射影,2,20260804,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.03805615,0.00934641,0.03368673,0.02870974,-0.02870974,0.02870974,30,20
固定射影,3,20260804,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.24630281,0.13103207,0.26773807,0.11527074,-0.11527074,0.11527074,47,38
固定射影,3,20260804,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.11373858,0.2904041,0.15458498,-0.17666552,0.17666552,0.17666552,37,31
固定射影,3,20260804,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.176682,0.17610651,0.13271974,0.00057549,-0.00057549,0.00057549,42,34
固定射影,3,20260804,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.23299023,0.21943898,0.32393853,0.01355125,-0.01355125,0.01355125,45,39
固定射影,3,20260804,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.11190878,0.31548774,0.23979278,-0.20357896,0.20357896,0.20357896,50,42
固定射影,3,20260804,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.04847524,0.00920659,0.02693684,0.03926865,-0.03926865,0.03926865,31,21
固定射影,3,20260804,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.23693011,0.1335483,0.26901283,0.10338182,-0.10338182,0.10338182,46,38
固定射影,3,20260804,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.13718671,0.27587662,0.14753749,-0.13868991,0.13868991,0.13868991,40,34
固定射影,3,20260804,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.20164188,0.18265766,0.13271974,0.01898422,-0.01898422,0.01898422,42,34
固定射影,3,20260804,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.22270956,0.22404469,0.32393853,-0.00133513,0.00133513,0.00133513,45,39
固定射影,3,20260804,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.12544567,0.30747038,0.24053093,-0.18202472,0.18202472,0.18202472,53,45
固定射影,3,20260804,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.03700242,0.00901956,0.02735356,0.02798286,-0.02798286,0.02798286,30,20
固定射影,3,20260804,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.24582033,0.13442819,0.25397222,0.11139214,-0.11139214,0.11139214,48,39
固定射影,3,20260804,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.13210835,0.28999268,0.14303508,-0.15788433,0.15788433,0.15788433,38,32
固定射影,3,20260804,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.18671854,0.18950375,0.14252984,-0.00278521,0.00278521,0.00278521,44,36
固定射影,3,20260804,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.23613988,0.22347973,0.30987266,0.01266016,-0.01266016,0.01266016,45,39
固定射影,3,20260804,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.11586642,0.3047515,0.23809678,-0.18888509,0.18888509,0.18888509,48,40
固定射影,3,20260804,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.03805615,0.00934641,0.03368673,0.02870974,-0.02870974,0.02870974,30,20
固定射影,4,20260804,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.24630281,0.13103207,0.26773807,0.11527074,-0.11527074,0.11527074,47,38
固定射影,4,20260804,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.11373858,0.2904041,0.15458498,-0.17666552,0.17666552,0.17666552,37,31
固定射影,4,20260804,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.18013026,0.17597191,0.13678719,0.00415835,-0.00415835,0.00415835,40,32
固定射影,4,20260804,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.23299023,0.21943898,0.32393853,0.01355125,-0.01355125,0.01355125,45,39
固定射影,4,20260804,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.11190878,0.31548774,0.23979278,-0.20357896,0.20357896,0.20357896,50,42
固定射影,4,20260804,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.04847524,0.00920659,0.02693684,0.03926865,-0.03926865,0.03926865,31,21
固定射影,4,20260804,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.23693011,0.1335483,0.26901283,0.10338182,-0.10338182,0.10338182,46,38
固定射影,4,20260804,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.13718671,0.27587662,0.14753749,-0.13868991,0.13868991,0.13868991,40,34
固定射影,4,20260804,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.19857949,0.18558014,0.13077635,0.01299936,-0.01299936,0.01299936,43,35
固定射影,4,20260804,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.22270956,0.22404469,0.32393853,-0.00133513,0.00133513,0.00133513,45,39
固定射影,4,20260804,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.12544567,0.30747038,0.24053093,-0.18202472,0.18202472,0.18202472,53,45
固定射影,4,20260804,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.03700242,0.00901956,0.02735356,0.02798286,-0.02798286,0.02798286,30,20
固定射影,4,20260804,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.24582033,0.13442819,0.25397222,0.11139214,-0.11139214,0.11139214,48,39
固定射影,4,20260804,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.13210835,0.28999268,0.14303508,-0.15788433,0.15788433,0.15788433,38,32
固定射影,4,20260804,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.18671854,0.18950375,0.14252984,-0.00278521,0.00278521,0.00278521,44,36
固定射影,4,20260804,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.23613988,0.22347973,0.30987266,0.01266016,-0.01266016,0.01266016,45,39
固定射影,4,20260804,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.11586642,0.3047515,0.23809678,-0.18888509,0.18888509,0.18888509,48,40
固定射影,4,20260804,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.03805615,0.00934641,0.03368673,0.02870974,-0.02870974,0.02870974,30,20
異なる射影,1,20261813,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.05588499,0.09550674,0.16925367,-0.03962176,0.03962176,0.03962176,41,31
異なる射影,1,20261813,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.15902369,0.18110777,0.1768189,-0.02208408,0.02208408,0.02208408,37,31
異なる射影,1,20261813,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.15944,0.2489831,0.31347161,-0.08954311,0.08954311,0.08954311,44,38
異なる射影,1,20261813,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.15961072,0.23358907,0.29820412,-0.07397835,0.07397835,0.07397835,48,42
異なる射影,1,20261813,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.07623978,0.14173322,0.22103147,-0.06549345,0.06549345,0.06549345,42,33
異なる射影,1,20261813,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.05220017,0.10619166,0.25190128,-0.05399149,0.05399149,0.05399149,41,32
異なる射影,1,20261813,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.07085878,0.12130785,0.20284248,-0.05044907,0.05044907,0.05044907,41,31
異なる射影,1,20261813,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.15554914,0.19895424,0.17052364,-0.0434051,0.0434051,0.0434051,37,31
異なる射影,1,20261813,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.17985112,0.2496801,0.29992302,-0.06982898,0.06982898,0.06982898,48,42
異なる射影,1,20261813,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.15049726,0.2122235,0.30013154,-0.06172624,0.06172624,0.06172624,46,38
異なる射影,1,20261813,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.07693533,0.13905471,0.22086315,-0.06211938,0.06211938,0.06211938,42,33
異なる射影,1,20261813,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.05098308,0.10311052,0.25306003,-0.05212743,0.05212743,0.05212743,41,33
異なる射影,1,20261813,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.06845768,0.11935741,0.20236515,-0.05089973,0.05089973,0.05089973,43,33
異なる射影,1,20261813,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.1488045,0.17704638,0.17207771,-0.02824188,0.02824188,0.02824188,36,30
異なる射影,1,20261813,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.16965802,0.25209374,0.29953748,-0.08243572,0.08243572,0.08243572,46,40
異なる射影,1,20261813,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.16596481,0.23966719,0.29913921,-0.07370238,0.07370238,0.07370238,47,40
異なる射影,1,20261813,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.07667512,0.13064028,0.22139216,-0.05396515,0.05396515,0.05396515,43,34
異なる射影,1,20261813,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.05192747,0.10258931,0.24170455,-0.05066183,0.05066183,0.05066183,40,30
異なる射影,2,20262822,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.25425748,0.3649318,0.35744524,-0.11067432,0.11067432,0.11067432,55,46
異なる射影,2,20262822,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.19341849,0.22177216,0.14621967,-0.02835367,0.02835367,0.02835367,40,34
異なる射影,2,20262822,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.17221876,0.20847873,0.15995602,-0.03625997,0.03625997,0.03625997,38,30
異なる射影,2,20262822,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.2404713,0.36218082,0.29166847,-0.12170951,0.12170951,0.12170951,49,42
異なる射影,2,20262822,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.10848546,0.18803662,0.18109455,-0.07955116,0.07955116,0.07955116,40,33
異なる射影,2,20262822,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.00162037,0.02509654,0.07493025,-0.02347617,0.02347617,0.02347617,30,21
異なる射影,2,20262822,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.25278617,0.35511195,0.36575048,-0.10232578,0.10232578,0.10232578,58,49
異なる射影,2,20262822,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.18072808,0.21974865,0.14778235,-0.03902057,0.03902057,0.03902057,40,34
異なる射影,2,20262822,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.14279091,0.18677235,0.1498443,-0.04398144,0.04398144,0.04398144,36,28
異なる射影,2,20262822,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.21542463,0.32385116,0.28371574,-0.10842653,0.10842653,0.10842653,49,42
異なる射影,2,20262822,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.10651829,0.19367673,0.16775745,-0.08715845,0.08715845,0.08715845,41,34
異なる射影,2,20262822,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.01003673,0.04168795,0.09092139,-0.03165122,0.03165122,0.03165122,31,22
異なる射影,2,20262822,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.25925782,0.36774222,0.32689766,-0.1084844,0.1084844,0.1084844,50,41
異なる射影,2,20262822,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.18500692,0.21314288,0.11896545,-0.02813596,0.02813596,0.02813596,38,32
異なる射影,2,20262822,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.21066212,0.23319297,0.18734564,-0.02253085,0.02253085,0.02253085,39,33
異なる射影,2,20262822,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.28194975,0.36435419,0.28785903,-0.08240444,0.08240444,0.08240444,48,41
異なる射影,2,20262822,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.10771505,0.17109333,0.17951861,-0.06337828,0.06337828,0.06337828,40,33
異なる射影,2,20262822,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.00157658,0.0153355,0.07265,-0.01375892,0.01375892,0.01375892,30,21
異なる射影,3,20263831,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.18731443,0.19439659,0.08244324,-0.00708215,0.00708215,0.00708215,45,38
異なる射影,3,20263831,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.08254651,0.16850972,0.21181786,-0.08596321,0.08596321,0.08596321,38,30
異なる射影,3,20263831,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.04341792,0.14736376,0.20385529,-0.10394584,0.10394584,0.10394584,36,30
異なる射影,3,20263831,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.13412225,0.26339963,0.30097981,-0.12927738,0.12927738,0.12927738,47,39
異なる射影,3,20263831,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.17855518,0.17767166,0.25644076,0.00088353,-0.00088353,0.00088353,52,45
異なる射影,3,20263831,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.07070063,0.08543246,0.25191981,-0.01473183,0.01473183,0.01473183,40,30
異なる射影,3,20263831,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.15916937,0.21362094,0.09358513,-0.05445158,0.05445158,0.05445158,43,36
異なる射影,3,20263831,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.08214803,0.15386276,0.21128587,-0.07171473,0.07171473,0.07171473,40,32
異なる射影,3,20263831,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.04078597,0.17105105,0.21444304,-0.13026508,0.13026508,0.13026508,41,35
異なる射影,3,20263831,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.13741863,0.25088926,0.28987985,-0.11347064,0.11347064,0.11347064,47,39
異なる射影,3,20263831,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.16045998,0.17412171,0.26377984,-0.01366174,0.01366174,0.01366174,49,42
異なる射影,3,20263831,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.07260011,0.08232226,0.24910954,-0.00972214,0.00972214,0.00972214,40,30
異なる射影,3,20263831,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.15679205,0.19709477,0.0819062,-0.04030271,0.04030271,0.04030271,41,34
異なる射影,3,20263831,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.08219847,0.16850972,0.2072913,-0.08631125,0.08631125,0.08631125,40,32
異なる射影,3,20263831,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.03379188,0.1284058,0.17138072,-0.09461392,0.09461392,0.09461392,34,28
異なる射影,3,20263831,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.1285501,0.25149362,0.26930156,-0.12294352,0.12294352,0.12294352,44,37
異なる射影,3,20263831,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.15434157,0.18204234,0.26257195,-0.02770077,0.02770077,0.02770077,50,43
異なる射影,3,20263831,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.07107501,0.08452654,0.25395888,-0.01345153,0.01345153,0.01345153,40,32
異なる射影,4,20264840,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.37172211,0.30783173,0.17483575,0.06389039,-0.06389039,0.06389039,47,40
異なる射影,4,20264840,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.18789671,0.25889141,0.06755873,-0.0709947,0.0709947,0.0709947,45,38
異なる射影,4,20264840,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.22901859,0.38880808,0.21508665,-0.15978948,0.15978948,0.15978948,58,52
異なる射影,4,20264840,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.27525838,0.32983168,0.1612659,-0.05457331,0.05457331,0.05457331,42,38
異なる射影,4,20264840,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.23160691,0.35950115,0.25537067,-0.12789423,0.12789423,0.12789423,48,43
異なる射影,4,20264840,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.03891682,0.0,0.06434598,0.03891682,-0.03891682,0.03891682,32,23
異なる射影,4,20264840,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.35640909,0.26244856,0.16136223,0.09396053,-0.09396053,0.09396053,48,40
異なる射影,4,20264840,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.18679075,0.25655634,0.06777184,-0.06976559,0.06976559,0.06976559,45,38
異なる射影,4,20264840,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.25643332,0.3696238,0.19834197,-0.11319047,0.11319047,0.11319047,55,48
異なる射影,4,20264840,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.27323557,0.29108626,0.14254238,-0.01785069,0.01785069,0.01785069,41,37
異なる射影,4,20264840,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.19388125,0.30829833,0.24294573,-0.11441707,0.11441707,0.11441707,45,39
異なる射影,4,20264840,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.04854574,0.0,0.06613154,0.04854574,-0.04854574,0.04854574,32,23
異なる射影,4,20264840,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.38472821,0.29451419,0.15503013,0.09021402,-0.09021402,0.09021402,48,41
異なる射影,4,20264840,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.21267641,0.26963381,0.06715408,-0.05695739,0.05695739,0.05695739,45,37
異なる射影,4,20264840,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.25844829,0.39569925,0.19274534,-0.13725096,0.13725096,0.13725096,57,50
異なる射影,4,20264840,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.27233228,0.32299606,0.14716472,-0.05066378,0.05066378,0.05066378,42,39
異なる射影,4,20264840,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.22184592,0.33497546,0.22881941,-0.11312954,0.11312954,0.11312954,46,39
異なる射影,4,20264840,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.04376389,0.0,0.05946332,0.04376389,-0.04376389,0.04376389,31,21
